JobID|CPUTimeRAW|
18288|0|
18288.batch|0|
18288.extern|0|
18289|16|
18289.batch|16|
18289.extern|16|
18290|16600|
18290.batch|16600|
18290.extern|16600|
18291|61480|
18291.batch|61480|
18291.extern|61480|
18292|2|
18292.batch|2|
18292.extern|2|
18293|2920|
18293.batch|2920|
18293.extern|2920|
18294|6040|
18294.batch|6040|
18294.extern|6040|
18295|0|
18295.batch|0|
18295.extern|0|
18296|2158|
18296.batch|2158|
18296.extern|2158|
18297|3|
18297.batch|3|
18297.extern|3|
19798|15200|
19798.batch|15200|
19798.extern|15200|
19799|20|
19799.batch|20|
19799.extern|20|
19800|80|
19800.batch|80|
19800.extern|80|
19801|80|
19801.batch|80|
19801.extern|80|
19802|2|
19802.batch|2|
19802.extern|2|
19803|9|
19803.batch|9|
19803.extern|9|
19804|5|
19804.batch|5|
19804.extern|5|
19805|10200|
19805.batch|10200|
19805.extern|10200|
19806|145000|
19806.batch|145040|
19806.extern|145000|
19813|10240|
19813.batch|10240|
19813.extern|10240|
19814|187400|
19814.batch|187400|
19814.extern|187400|
19815|63|
19815.batch|63|
19815.extern|63|
19816|600|
19816.batch|600|
19816.extern|600|
19817|1480|
19817.batch|1480|
19817.extern|1480|
19818|1|
19818.batch|1|
19818.extern|1|
19819|245|
19819.batch|245|
19819.extern|245|
19820|28|
19820.batch|28|
19820.extern|28|
19989|576240|
19989.extern|576240|
19989.0|576240|
20029|219480|
20029.extern|219480|
20029.0|219480|
26468|56440|
26468.extern|56440|
26468.0|56440|
26475|576280|
26475.extern|576280|
26475.0|576280|
26892|576080|
26892.extern|576080|
26892.0|576080|
26955|240|
26955.batch|240|
26955.extern|240|
26956|80|
26956.batch|80|
26956.extern|80|
26957|1040|
26957.batch|1040|
26957.extern|1040|
26958|6|
26958.batch|6|
26958.extern|6|
26959|40|
26959.batch|40|
26959.extern|40|
26960|80|
26960.batch|80|
26960.extern|80|
26961|0|
26961.batch|0|
26961.extern|0|
26962|6|
